"dates","Total"
"14/12/2020","895"
"15/12/2020","912"
"16/12/2020","933"
"17/12/2020","948"
"18/12/2020","968"
"19/12/2020","992"
"20/12/2020","1016"
"21/12/2020","1038"
"22/12/2020","1056"
"23/12/2020","1070"
"24/12/2020","1085"
"25/12/2020","1103"
"26/12/2020","1123"
"27/12/2020","1145"
"28/12/2020","1159"
"29/12/2020","1189"
"30/12/2020","1223"
"31/12/2020","1254"
"01/01/2021","1281"
"02/01/2021","1292"
"03/01/2021","1329"
"04/01/2021","1347"
"05/01/2021","1373"
"06/01/2021","1415"
"07/01/2021","1482"
"08/01/2021","1519"
"09/01/2021","1557"
"10/01/2021","1588"
"11/01/2021","1617"
"12/01/2021","1654"
"13/01/2021","1677"
"14/01/2021","1710"
"15/01/2021","1757"
"16/01/2021","1805"
"17/01/2021","1825"
"18/01/2021","1842"
"19/01/2021","1870"
"20/01/2021","1889"
"21/01/2021","1904"
"22/01/2021","1925"
"23/01/2021","1941"
"24/01/2021","1943"
"25/01/2021","1950"
"26/01/2021","1958"
"27/01/2021","1972"
"28/01/2021","1981"
"29/01/2021","2004"
"30/01/2021","2008"
"31/01/2021","2008"
