dates,I,Total
14/12/2020,22,895
15/12/2020,17,912
16/12/2020,21,933
17/12/2020,15,948
18/12/2020,20,968
19/12/2020,24,992
20/12/2020,24,1016
21/12/2020,22,1038
22/12/2020,18,1056
23/12/2020,14,1070
24/12/2020,15,1085
25/12/2020,18,1103
26/12/2020,20,1123
27/12/2020,22,1145
28/12/2020,14,1159
29/12/2020,30,1189
30/12/2020,34,1223
31/12/2020,31,1254
01/01/2021,27,1281
02/01/2021,11,1292
03/01/2021,37,1329
04/01/2021,18,1347
05/01/2021,26,1373
06/01/2021,42,1415
07/01/2021,67,1482
08/01/2021,37,1519
09/01/2021,38,1557
10/01/2021,31,1588
11/01/2021,29,1617
12/01/2021,37,1654
13/01/2021,23,1677
14/01/2021,33,1710
15/01/2021,47,1757
16/01/2021,48,1805
17/01/2021,20,1825
18/01/2021,17,1842
19/01/2021,28,1870
20/01/2021,19,1889
21/01/2021,15,1904
22/01/2021,21,1925
23/01/2021,16,1941
24/01/2021,2,1943
25/01/2021,7,1950
26/01/2021,8,1958
27/01/2021,14,1972
28/01/2021,9,1981
29/01/2021,23,2004
30/01/2021,4,2008
31/01/2021,0,2008
